	name	explicit	artists	album_name	key	mode	time_signature	genre	duration_ms	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo
13246	Kentucky Waltz	False	The Osborne Brothers	Bluegrass Collection	5	1.0	3.0	bluegrass	0.0338844572041401	0.3295454545454545	0.5306430729391455	0.3259863849249755	0.7309586507729109	0.0060559348161197	0.7429718875502008	0.000147	0.2711726384364821	0.3658291457286432	0.3415298391718321
13247	Azukiiro No Kaori	False	Susumu Yokota	Sakura	2	1.0	5.0	idm	0.0336241509551799	0.25	0.2911091929218818	0.1159821428392853	0.5591291937202244	0.0200396388460691	0.9809236947791165	0.981	0.0671824104234527	0.0683417085427135	0.2076728547919854
13248	Sphere of Change	False	Alphaxone	Echoes from Outer Silence	7	1.0	4.0	iranian	0.0638694438521616	0.0795454545454545	0.1378938282261545	0.2849855567082455	0.571230425955334	0.0235630918299933	0.8704819277108433	0.942	0.0736970684039088	0.0323618090452261	0.4533735009437286
13249	"FUNNY BOY - FROM ""GIGS"" CASE OF BOOWY"	False	BOØWY	"""GIGS"" CASE OF BOφWY COMPLETE (Live From ""Gigs"" Case Of Boowy / 1987)"	9	1.0	4.0	j-idol	0.057324217654082	0.3863636363636363	0.1940008631851532	0.961999232384494	0.8771584216133637	0.0657344197313367	0.0085542168674698	0.000232	0.5042752442996743	0.407035175879397	0.6966293907036166
13250	Evig Köld Koncentrerad	False	Istapp	Blekinge	0	1.0	3.0	black-metal	0.0455621321984924	0.2045454545454545	0.1454466983167889	0.8869977173538905	0.8063199790942168	0.0554943844968068	8.112449799196787e-05	0.0108	0.5378664495114006	0.5407035175879398	0.6907093999568882
13251	Como Eu Quero	False	Brisa Star	Como Eu Quero	0	1.0	4.0	forro	0.04386367661718	0.4659090909090909	0.607250755287009	0.9009980001596032	0.8891792469897682	0.0060559348161197	0.107429718875502	4.53e-06	0.2660830618892508	0.8160804020100503	0.6501106712302118
13252	鼻の奥に米がいる状態	False	Maharajan	正気じゃいられない	0	1.0	4.0	j-dance	0.0402364663926823	0.2727272727272727	0.6741476046611998	0.8229964245277754	0.858001487526886	0.1224399911913675	0.0288152610441767	0.0	0.0285016286644951	0.7879396984924624	0.4246988743605516
13253	Yaariyaan - Male Vocals	False	Mohan Kannan;Pritam	Cocktail (Original Motion Picture Soundtrack)	2	1.0	4.0	indian	0.0861018419533654	0.625	0.4788519637462236	0.5189902836037288	0.7692323155165136	0.0075974454965866	0.0757028112449799	3.07e-05	0.0279926710097719	0.4170854271356783	0.2347229013212199
13254	A Swarm of Plagues	False	Naglfar	Pariah	5	1.0	4.0	black-metal	0.0649162799480265	0.2159090909090909	0.4540353905912818	0.9939998787975516	0.8427643878022795	0.1114292006166042	0.0032630522088353	0.000608	0.495114006514658	0.0384924623115577	0.4032113058153656
13255	Pliva	False	Jamie Jones;AMÉMÉ	Pliva	1	1.0	4.0	techno	0.0544837812373597	0.5681818181818182	0.6622788088044886	0.8859976971534825	0.7958670874625605	0.0317110768553182	0.0030722891566265	0.531	0.0414291530944625	0.7778894472361809	0.4872951530732953
