name,explicit,artists,album_name,key,mode,time_signature,genre,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Me Vuelvo Loco,False,Abraham Mateo;CNCO,Me Vuelvo Loco,1,1.0,4.0,spanish,0.043849526886683594,0.5681818181818182,0.6935692706085455,0.8589971517424652,0.8762739461676081,0.019819423034573885,0.15963855421686748,0.0,0.047536644951140065,0.6572864321608041,0.3245269527820276
Tengo Un Trato - Remastered 2015,True,Mala Rodríguez,Rap x siempre,2,1.0,4.0,spanish,0.03591957878691921,0.0,0.9320241691842901,0.6379926874522865,0.8263412869117737,0.12023783307641489,0.018072289156626505,0.0,0.045297231270358305,0.8402010050251256,0.32961625210958817
Enjoyment,False,Jlyricz,Enjoyment,6,0.0,4.0,afrobeat,0.039194753475100624,0.045454545454545456,0.8090202848511007,0.4099880817592515,0.782539650632199,0.0724510019819423,0.25301204819277107,9.94e-05,0.11237785016286646,0.6814070351758794,0.3137910548203761
Pondatiya Nee,False,Manikka Vinayagam,Perarasu (Original Motion Picture Soundtrack),6,0.0,,indian,0.055973406313414575,0.5454545454545454,0.6525679758308157,0.8389967477343042,0.7807103945966591,0.21382955296190265,0.0856425702811245,0.0,0.06942182410423453,0.6934673366834171,0.49180086539118734
Hurricane Season,False,"Sarah, the Illstrumentalist",Hurricane Season,7,0.0,4.0,study,0.023971595147911036,0.26136363636363635,0.5813552006905481,0.4509889099759815,0.7987818360906186,0.0629817220876459,0.42971887550200805,0.835,0.08866042345276873,0.20502512562814068,0.7669121938139777
Deixa a Luz Baixa,True,Major RD;Rock Danger;Sain;Chris MC;El Lif Beatz;KIB7,Troféu,1,1.0,,brazil,0.04624107530145025,0.5113636363636364,0.7464393612429866,0.6379926874522865,0.7956057651717692,0.28760184981281656,0.44176706827309237,0.000109,0.22129478827361565,0.49045226130653263,0.5241768005762264
HARUKAZE,False,SCANDAL,Queens are trumps -切り札はクイーン-,4,1.0,4.0,j-idol,0.06246374131560291,0.6022727272727273,0.43785066896849384,0.8719974143477698,0.916718596096247,0.03325258753578507,0.050702811244979926,0.0,0.15716612377850164,0.5819095477386934,0.2749062843383122
Dame calor,False,Natos y Waor,Luna llena,9,0.0,4.0,spanish,0.03861607828997091,0.6136363636363636,0.8780750971083298,0.6049920208388209,0.7554224375339216,0.17198854877780226,0.003263052208835341,0.00117,0.09100162866449513,0.5055276381909548,0.47136480497153044
Lion Man,False,Criolo,Nó na Orelha,7,0.0,4.0,brazil,0.04493759236968464,0.38636363636363635,0.570565386275356,0.6599931318612636,0.8362916356765232,0.03479409821625192,0.40060240963855426,0.0,0.11746742671009773,0.4864321608040201,0.2811049247383059
Volta Morena,False,Iguinho e Lulinha,Simbora pra Vaquejada,11,1.0,4.0,forro,0.0513637656628978,0.4090909090909091,0.5522227017695295,0.8469969093375685,0.841799505497819,0.009689495705791678,0.4126506024096385,2.83e-05,0.2935667752442997,0.7195979899497487,0.6401266015783137
Hatred Hell Within,False,Cursed Kingdom,The Wasteland,11,1.0,4.0,iranian,0.05241255344572773,0.0,0.34505826499784203,0.9729994545889826,0.7996060063923452,0.22704250165161857,0.0001465863453815261,0.00786,0.19686482084690554,0.03949748743718593,0.7605137668701334
1º De Julho - Ao Vivo,False,Cássia Eller,Acústico (Ao Vivo),7,1.0,4.0,brazil,0.06612949735765981,0.5227272727272727,0.2878722485973242,0.8779975355502181,0.8205519930850101,0.07498348381413784,0.5401606425702812,0.0,0.6651058631921825,0.5115577889447236,0.7346992423883955
Bananza (Belly Dancer),False,Akon,Trouble Deluxe Edition,10,0.0,4.0,breakbeat,0.053001231026553186,0.75,0.8888649115235218,0.7019939802784015,0.8179789736064487,0.11473243778903325,0.033534136546184735,8.92e-06,0.7445032573289904,0.6934673366834171,0.39174460970647146
Pretty Like a Rose,True,Jah Vinci,Pretty Like a Rose,8,1.0,4.0,j-dance,0.03953629869397988,0.2727272727272727,0.5953819594302978,0.36298713234007324,0.7594226787544979,0.2479630037436688,0.27108433734939763,2.1e-05,0.1205211726384365,0.2492462311557789,0.4189418673732801
Morbid Fascination Of Death,False,Carpathian Forest,Morbid Fascination Of Death,2,,,black-metal,0.031119648657312555,0.2159090909090909,0.14652567975830816,0.9049980809612355,0.7897360644863006,0.051200176172649194,3.5542168674698794e-05,0.931,0.09609120521172639,0.18693467336683417,0.35142453063306045
King of the Hill,False,Five Pointe O,Untitled,5,1.0,4.0,industrial,0.06865693197736629,0.23863636363636365,0.17781614156236514,0.9099981819632756,0.8544836874585403,0.08720546135212508,0.0006134538152610441,6.04e-06,0.08631921824104236,0.2592964824120603,0.8027002728663585
King Dragonfly,False,Susumu Yokota,Grinning Cat,11,0.0,4.0,idm,0.06371282097321847,0.18181818181818182,0.7496763055675443,0.7839956367118616,0.7010875027639858,0.05505395287381634,0.6335341365461847,0.854,0.09914495114006515,0.5437185929648242,0.42424146832594645
Mar do Meu Mundo,False,Maneva,Tempo de Paz,2,0.0,4.0,brazil,0.05516906732295394,0.5909090909090909,0.7593871385412171,0.7159942630841143,0.798661225802561,0.027857300154151065,0.4116465863453815,0.00293,0.3220684039087948,0.6613065326633166,0.3139908413642266
Meet You In The Sunshine,False,The New Mastersounds;Eddie Roberts;Lamar Williams Jr.,The Deplar Effect,6,,4.0,afrobeat,0.08363295794260966,0.13636363636363635,0.5673284419507985,0.8329966265318559,0.7482260236798199,0.022021581149526532,0.0788152610441767,0.165,0.21315146579804561,0.735678391959799,0.3444530317608029
Worthy of My Song,False,Phil Wickham,Worthy of My Song,2,,,indian,0.08548388906806459,0.4090909090909091,0.37419076391886064,0.7279945054890109,0.8065611996703319,0.02422373926447919,0.018373493975903616,0.0,0.08112785016286646,0.20603015075376882,0.5756954411865217
Naranjada,False,Plastilina Mosh,Hola Chicuelos,7,,4.0,afrobeat,0.04774143465581269,0.29545454545454547,0.7399654725938714,0.8859976971534825,0.8174161255955134,0.10702488438669897,0.5552208835341366,0.0112,0.30069218241042345,0.8180904522613065,0.6030293949096492
Capsize,False,FRENSHIP;Emily Warren,Truce - EP,5,0.0,4.0,chicago-house,0.05280923382136892,0.7727272727272727,0.6795425118687959,0.7079941014808498,0.8110438820431383,0.008478308742567714,0.03995983935742972,0.155,0.6864820846905539,0.35678391959798994,0.32948481359389703
